,level_0,index,date,time,symbol,open,high,low,close,oi,volume,strikePrice,entryPriceCE,exitPriceCE,gainCE,exitTimeCE,entryPricePE,exitPricePE,gainPE,exitTimePE,StrikeGain
0,15,492,11-02-2019,09:30:00,NIFTY,10880.4,10880.4,10874.05,10877.25,nan,0,10900,-53,59.55,6.55,15:29:00,-75.4,47.45,-27.95,15:29:00,1070
0,15,499,01-01-2020,09:30:00,NIFTY,12221.65,12221.9,12218.6,12219.05,nan,0,12200,-41.6,24.25,-17.35,15:29:00,-26.35,26.6,0.25,15:29:00,855
0,15,483,02-01-2020,09:30:00,NIFTY,12224.25,12228.5,12223.35,12228.45,nan,0,12200,-33.55,51.15,17.6,11:54:00,-11.65,0.05,-11.6,15:29:00,-300
1,159,3850,02-01-2020,11:54:00,NIFTY,12248,12251.55,12247.45,12251.05,nan,0,12250,-12.9,32.1,19.2,15:29:00,-14.4,0.05,-14.35,15:29:00,-242.5
0,15,566,03-01-2020,09:30:00,NIFTY,12251.25,12251.25,12242.25,12242.5,nan,0,12250,-56.8,49,-7.8,15:29:00,-65.25,88,22.75,14:50:00,-747.5
1,335,10863,03-01-2020,14:50:00,NIFTY,12205,12205,12195.15,12197.2,nan,0,12200,-63.3,76,12.7,15:29:00,-61.3,50.8,-10.5,15:29:00,-110
0,15,638,06-01-2020,09:30:00,NIFTY,12096.9,12096.9,12073.85,12074.85,nan,0,12100,-69.4,28,-41.4,15:29:00,-76.3,91.35,15.05,11:25:00,1317.5
1,130,5089,06-01-2020,11:25:00,NIFTY,12060.95,12060.95,12047.2,12049.1,nan,0,12050,-80.6,45.5,-35.1,15:29:00,-66.65,89.6,22.95,14:03:00,607.5
2,288,10950,06-01-2020,14:03:00,NIFTY,11999.6,11999.6,11995.85,11997.6,nan,0,12000,-74.25,71,-3.25,15:29:00,-65.1,63,-2.1,15:29:00,267.5
0,15,649,07-01-2020,09:30:00,NIFTY,12125.05,12129.35,12125.05,12128.25,nan,0,12150,-40.25,19.65,-20.6,15:29:00,-64.45,69.5,5.05,10:57:00,777.5
